cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,0.9900000000000001,0
0.08,0.9900000000000001,0
0.09,0.9900000000000001,0
0.1,0.9900000000000001,0
0.11,0.9900000000000001,0
0.12,0.9900000000000001,0
0.13,0.9900000000000001,0
0.14,0.9900000000000001,0
0.15,0.9900000000000001,0
0.16,0.9900000000000001,0
0.17,0.9900000000000001,0
0.18,0.9900000000000001,0
0.19,0.9900000000000001,0
0.2,0.9900000000000001,0
0.21,0.9900000000000001,0
0.22,1.993661701417351,0
0.23,1.993661701417351,0
0.24,1.993661701417351,0
0.25,2.974233423476717,0
0.26,2.974233423476717,0
0.27,4.014835333028612,0
0.28,4.014835333028612,0
0.29,4.014835333028612,0
0.3,4.014835333028612,0
0.31,5.002829575110743,0
0.32,7.028793021534833,0
0.33,7.028793021534833,0
0.34,8.935418643763667,0
0.35000000000000003,8.935418643763667,0
0.36,8.935418643763667,0
0.37,10.074696689511441,0
0.38,10.074696689511441,0
0.39,10.074696689511441,0
0.4,10.074696689511441,0
0.41000000000000003,10.913817739716958,0
0.42,10.913817739716958,0
0.43,10.913817739716958,0
0.44,10.913817739716958,0
0.45,12.06167417903937,0
0.46,12.06167417903937,0
0.47000000000000003,12.06167417903937,0
0.48,12.06167417903937,0
0.49,12.06167417903937,0
0.5,12.06167417903937,0
0.51,12.06167417903937,0
0.52,13.066290498147941,0
0.53,13.066290498147941,0
0.54,13.066290498147941,0
0.55,13.066290498147941,0
0.56,13.066290498147941,0
0.5700000000000001,13.066290498147941,0
0.58,13.066290498147941,0
0.59,13.874292528934198,0
0.6,13.874292528934198,0
0.61,13.874292528934198,0
0.62,13.874292528934198,0
0.63,13.874292528934198,0
0.64,13.874292528934198,0
0.65,13.874292528934198,0
0.66,15.029881751769887,0
0.67,15.029881751769887,0
0.68,15.029881751769887,0
0.6900000000000001,15.029881751769887,0
0.7000000000000001,15.959309654787097,0
0.71,15.959309654787097,0
0.72,15.959309654787097,0
0.73,15.959309654787097,0
0.74,15.959309654787097,0
0.75,15.959309654787097,0
0.76,16.94621214351123,0
0.77,16.94621214351123,0
0.78,16.94621214351123,0
0.79,16.94621214351123,0
0.8,16.94621214351123,0
0.81,16.94621214351123,0
0.8200000000000001,16.94621214351123,0
0.8300000000000001,16.94621214351123,0
0.84,17.994143369901202,0
0.85,17.994143369901202,0
0.86,17.994143369901202,0
0.87,17.994143369901202,0
0.88,17.994143369901202,0
0.89,17.994143369901202,0
0.9,17.994143369901202,0
0.91,17.994143369901202,0
0.92,19.106877269947287,0
0.93,19.106877269947287,0
0.9400000000000001,19.106877269947287,0
0.9500000000000001,19.106877269947287,0
0.96,19.88667024086647,0
0.97,21.116435486210914,0
0.98,21.116435486210914,0
0.99,21.97824287264948,0
1.0,22.875222481777087,0
0.0,0.0,1
0.01,0.9900000000000001,1
0.02,0.9900000000000001,1
0.03,0.9900000000000001,1
0.04,0.9900000000000001,1
0.05,1.993661701417351,1
0.06,2.974233423476717,1
0.07,5.002829575110743,1
0.08,5.002829575110743,1
0.09,5.002829575110743,1
0.1,5.98951037117267,1
0.11,5.98951037117267,1
0.12,5.98951037117267,1
0.13,5.98951037117267,1
0.14,7.028793021534833,1
0.15,7.028793021534833,1
0.16,7.028793021534833,1
0.17,7.028793021534833,1
0.18,7.028793021534833,1
0.19,7.028793021534833,1
0.2,7.924973703917148,1
0.21,7.924973703917148,1
0.22,7.924973703917148,1
0.23,7.924973703917148,1
0.24,7.924973703917148,1
0.25,8.935418643763667,1
0.26,8.935418643763667,1
0.27,8.935418643763667,1
0.28,8.935418643763667,1
0.29,8.935418643763667,1
0.3,8.935418643763667,1
0.31,8.935418643763667,1
0.32,8.935418643763667,1
0.33,10.074696689511441,1
0.34,10.074696689511441,1
0.35000000000000003,10.074696689511441,1
0.36,10.074696689511441,1
0.37,10.074696689511441,1
0.38,10.074696689511441,1
0.39,10.074696689511441,1
0.4,10.074696689511441,1
0.41000000000000003,10.074696689511441,1
0.42,10.074696689511441,1
0.43,10.913817739716958,1
0.44,10.913817739716958,1
0.45,10.913817739716958,1
0.46,10.913817739716958,1
0.47000000000000003,10.913817739716958,1
0.48,10.913817739716958,1
0.49,10.913817739716958,1
0.5,10.913817739716958,1
0.51,10.913817739716958,1
0.52,10.913817739716958,1
0.53,10.913817739716958,1
0.54,10.913817739716958,1
0.55,10.913817739716958,1
0.56,12.06167417903937,1
0.5700000000000001,12.06167417903937,1
0.58,12.06167417903937,1
0.59,12.06167417903937,1
0.6,12.06167417903937,1
0.61,12.06167417903937,1
0.62,12.06167417903937,1
0.63,12.06167417903937,1
0.64,12.06167417903937,1
0.65,12.06167417903937,1
0.66,12.06167417903937,1
0.67,12.06167417903937,1
0.68,12.06167417903937,1
0.6900000000000001,13.066290498147941,1
