cdf,batch_size,replica
0.0,0.9900000000000001,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,2.974233423476717,0
0.08,5.002829575110743,0
0.09,5.98951037117267,0
0.1,7.028793021534833,0
0.11,7.028793021534833,0
0.12,7.028793021534833,0
0.13,7.924973703917148,0
0.14,7.924973703917148,0
0.15,8.935418643763667,0
0.16,8.935418643763667,0
0.17,10.074696689511441,0
0.18,10.074696689511441,0
0.19,10.074696689511441,0
0.2,10.074696689511441,0
0.21,10.074696689511441,0
0.22,10.913817739716958,0
0.23,10.913817739716958,0
0.24,10.913817739716958,0
0.25,10.913817739716958,0
0.26,10.913817739716958,0
0.27,10.913817739716958,0
0.28,10.913817739716958,0
0.29,10.913817739716958,0
0.3,12.06167417903937,0
0.31,12.06167417903937,0
0.32,12.06167417903937,0
0.33,12.06167417903937,0
0.34,12.06167417903937,0
0.35000000000000003,12.06167417903937,0
0.36,12.06167417903937,0
0.37,12.06167417903937,0
0.38,12.06167417903937,0
0.39,13.066290498147941,0
0.4,13.066290498147941,0
0.41000000000000003,13.066290498147941,0
0.42,13.066290498147941,0
0.43,13.066290498147941,0
0.44,13.066290498147941,0
0.45,13.066290498147941,0
0.46,13.066290498147941,0
0.47000000000000003,13.874292528934198,0
0.48,13.874292528934198,0
0.49,13.874292528934198,0
0.5,13.874292528934198,0
0.51,13.874292528934198,0
0.52,13.874292528934198,0
0.53,13.874292528934198,0
0.54,13.874292528934198,0
0.55,13.874292528934198,0
0.56,15.029881751769887,0
0.5700000000000001,15.029881751769887,0
0.58,15.029881751769887,0
0.59,15.029881751769887,0
0.6,15.029881751769887,0
0.61,15.029881751769887,0
0.62,15.029881751769887,0
0.63,15.029881751769887,0
0.64,15.029881751769887,0
0.65,15.959309654787097,0
0.66,15.959309654787097,0
0.67,15.959309654787097,0
0.68,15.959309654787097,0
0.6900000000000001,15.959309654787097,0
0.7000000000000001,15.959309654787097,0
0.71,15.959309654787097,0
0.72,15.959309654787097,0
0.73,15.959309654787097,0
0.74,16.94621214351123,0
0.75,16.94621214351123,0
0.76,16.94621214351123,0
0.77,16.94621214351123,0
0.78,16.94621214351123,0
0.79,16.94621214351123,0
0.8,16.94621214351123,0
0.81,17.994143369901202,0
0.8200000000000001,17.994143369901202,0
0.8300000000000001,17.994143369901202,0
0.84,17.994143369901202,0
0.85,17.994143369901202,0
0.86,19.106877269947287,0
0.87,19.106877269947287,0
0.88,19.106877269947287,0
0.89,19.106877269947287,0
0.9,19.88667024086647,0
0.91,19.88667024086647,0
0.92,19.88667024086647,0
0.93,21.116435486210914,0
0.9400000000000001,21.116435486210914,0
0.9500000000000001,21.116435486210914,0
0.96,21.97824287264948,0
0.97,21.97824287264948,0
0.98,22.875222481777087,0
0.99,25.791844500743554,0
1.0,29.080339799119507,0
