cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,2.974233423476717,0
0.08,4.014835333028612,0
0.09,5.002829575110743,0
0.1,5.98951037117267,0
0.11,5.98951037117267,0
0.12,5.98951037117267,0
0.13,7.028793021534833,0
0.14,7.028793021534833,0
0.15,7.924973703917148,0
0.16,7.924973703917148,0
0.17,8.935418643763667,0
0.18,8.935418643763667,0
0.19,8.935418643763667,0
0.2,8.935418643763667,0
0.21,8.935418643763667,0
0.22,10.074696689511441,0
0.23,10.074696689511441,0
0.24,10.074696689511441,0
0.25,10.074696689511441,0
0.26,10.074696689511441,0
0.27,10.074696689511441,0
0.28,10.074696689511441,0
0.29,10.074696689511441,0
0.3,10.913817739716958,0
0.31,10.913817739716958,0
0.32,10.913817739716958,0
0.33,10.913817739716958,0
0.34,10.913817739716958,0
0.35000000000000003,10.913817739716958,0
0.36,10.913817739716958,0
0.37,10.913817739716958,0
0.38,10.913817739716958,0
0.39,12.06167417903937,0
0.4,12.06167417903937,0
0.41000000000000003,12.06167417903937,0
0.42,12.06167417903937,0
0.43,12.06167417903937,0
0.44,12.06167417903937,0
0.45,12.06167417903937,0
0.46,12.06167417903937,0
0.47000000000000003,13.066290498147941,0
0.48,13.066290498147941,0
0.49,13.066290498147941,0
0.5,13.066290498147941,0
0.51,13.066290498147941,0
0.52,13.066290498147941,0
0.53,13.066290498147941,0
0.54,13.066290498147941,0
0.55,13.066290498147941,0
0.56,13.874292528934198,0
0.5700000000000001,13.874292528934198,0
0.58,13.874292528934198,0
0.59,13.874292528934198,0
0.6,13.874292528934198,0
0.61,13.874292528934198,0
0.62,13.874292528934198,0
0.63,13.874292528934198,0
0.64,13.874292528934198,0
0.65,13.874292528934198,0
0.66,15.029881751769887,0
0.67,15.029881751769887,0
0.68,15.029881751769887,0
0.6900000000000001,15.029881751769887,0
0.7000000000000001,15.029881751769887,0
0.71,15.029881751769887,0
0.72,15.029881751769887,0
0.73,15.029881751769887,0
0.74,15.959309654787097,0
0.75,15.959309654787097,0
0.76,15.959309654787097,0
0.77,15.959309654787097,0
0.78,15.959309654787097,0
0.79,15.959309654787097,0
0.8,15.959309654787097,0
0.81,16.94621214351123,0
0.8200000000000001,16.94621214351123,0
0.8300000000000001,16.94621214351123,0
0.84,16.94621214351123,0
0.85,16.94621214351123,0
0.86,17.994143369901202,0
0.87,17.994143369901202,0
0.88,17.994143369901202,0
0.89,17.994143369901202,0
0.9,19.106877269947287,0
0.91,19.106877269947287,0
0.92,19.106877269947287,0
0.93,19.88667024086647,0
0.9400000000000001,19.88667024086647,0
0.9500000000000001,19.88667024086647,0
0.96,21.116435486210914,0
0.97,21.116435486210914,0
0.98,21.97824287264948,0
0.99,24.78049876990369,0
1.0,27.940046110299996,0
