cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,0.9900000000000001,0
0.08,0.9900000000000001,0
0.09,0.9900000000000001,0
0.1,0.9900000000000001,0
0.11,0.9900000000000001,0
0.12,0.9900000000000001,0
0.13,0.9900000000000001,0
0.14,0.9900000000000001,0
0.15,1.993661701417351,0
0.16,4.014835333028612,0
0.17,4.014835333028612,0
0.18,5.002829575110743,0
0.19,5.002829575110743,0
0.2,5.98951037117267,0
0.21,7.028793021534833,0
0.22,7.924973703917148,0
0.23,7.924973703917148,0
0.24,8.935418643763667,0
0.25,8.935418643763667,0
0.26,10.074696689511441,0
0.27,10.074696689511441,0
0.28,10.913817739716958,0
0.29,12.06167417903937,0
0.3,12.06167417903937,0
0.31,13.874292528934198,0
0.32,15.029881751769887,0
0.33,15.029881751769887,0
0.34,15.959309654787097,0
0.35000000000000003,15.959309654787097,0
0.36,16.94621214351123,0
0.37,17.994143369901202,0
0.38,17.994143369901202,0
0.39,17.994143369901202,0
0.4,17.994143369901202,0
0.41000000000000003,19.106877269947287,0
0.42,19.106877269947287,0
0.43,19.88667024086647,0
0.44,21.116435486210914,0
0.45,21.116435486210914,0
0.46,21.97824287264948,0
0.47000000000000003,21.97824287264948,0
0.48,22.875222481777087,0
0.49,22.875222481777087,0
0.5,22.875222481777087,0
0.51,23.808809768044906,0
0.52,23.808809768044906,0
0.53,23.808809768044906,0
0.54,23.808809768044906,0
0.55,24.78049876990369,0
0.56,24.78049876990369,0
0.5700000000000001,24.78049876990369,0
0.58,24.78049876990369,0
0.59,24.78049876990369,0
0.6,25.791844500743554,0
0.61,25.791844500743554,0
0.62,25.791844500743554,0
0.63,25.791844500743554,0
0.64,25.791844500743554,0
0.65,26.84446543741302,0
0.66,26.84446543741302,0
0.67,26.84446543741302,0
0.68,26.84446543741302,0
0.6900000000000001,27.940046110299996,0
0.7000000000000001,27.940046110299996,0
0.71,27.940046110299996,0
0.72,27.940046110299996,0
0.73,27.940046110299996,0
0.74,29.080339799119507,0
0.75,29.080339799119507,0
0.76,29.080339799119507,0
0.77,29.080339799119507,0
0.78,30.267171338722385,0
0.79,30.267171338722385,0
0.8,30.267171338722385,0
0.81,30.267171338722385,0
0.8200000000000001,30.878629345565244,0
0.8300000000000001,30.878629345565244,0
0.84,30.878629345565244,0
0.85,30.878629345565244,0
0.86,32.13885296950424,0
0.87,32.13885296950424,0
0.88,32.788122726463925,0
0.89,32.788122726463925,0
0.9,32.788122726463925,0
0.91,34.12627690364846,0
0.92,34.12627690364846,0
0.93,34.12627690364846,0
0.9400000000000001,34.8156966390757,0
0.9500000000000001,34.8156966390757,0
0.96,34.8156966390757,0
0.97,34.8156966390757,0
0.98,36.236600491297956,0
0.99,36.236600491297956,0
1.0,37.71549450175803,0
