cdf,batch_num_decode_tokens,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.9900000000000001,0
0.03,0.9900000000000001,0
0.04,0.9900000000000001,0
0.05,0.9900000000000001,0
0.06,0.9900000000000001,0
0.07,0.9900000000000001,0
0.08,0.9900000000000001,0
0.09,0.9900000000000001,0
0.1,0.9900000000000001,0
0.11,0.9900000000000001,0
0.12,0.9900000000000001,0
0.13,0.9900000000000001,0
0.14,0.9900000000000001,0
0.15,0.9900000000000001,0
0.16,0.9900000000000001,0
0.17,0.9900000000000001,0
0.18,0.9900000000000001,0
0.19,0.9900000000000001,0
0.2,0.9900000000000001,0
0.21,0.9900000000000001,0
0.22,0.9900000000000001,0
0.23,0.9900000000000001,0
0.24,0.9900000000000001,0
0.25,0.9900000000000001,0
0.26,0.9900000000000001,0
0.27,0.9900000000000001,0
0.28,0.9900000000000001,0
0.29,0.9900000000000001,0
0.3,0.9900000000000001,0
0.31,0.9900000000000001,0
0.32,0.9900000000000001,0
0.33,0.9900000000000001,0
0.34,0.9900000000000001,0
0.35000000000000003,0.9900000000000001,0
0.36,0.9900000000000001,0
0.37,0.9900000000000001,0
0.38,0.9900000000000001,0
0.39,0.9900000000000001,0
0.4,0.9900000000000001,0
0.41000000000000003,0.9900000000000001,0
0.42,1.993661701417351,0
0.43,1.993661701417351,0
0.44,2.974233423476717,0
0.45,2.974233423476717,0
0.46,2.974233423476717,0
0.47000000000000003,2.974233423476717,0
0.48,2.974233423476717,0
0.49,2.974233423476717,0
0.5,2.974233423476717,0
0.51,2.974233423476717,0
0.52,2.974233423476717,0
0.53,2.974233423476717,0
0.54,2.974233423476717,0
0.55,2.974233423476717,0
0.56,2.974233423476717,0
0.5700000000000001,2.974233423476717,0
0.58,2.974233423476717,0
0.59,2.974233423476717,0
0.6,2.974233423476717,0
0.61,2.974233423476717,0
0.62,2.974233423476717,0
0.63,4.014835333028612,0
0.64,4.014835333028612,0
0.65,4.014835333028612,0
0.66,4.014835333028612,0
0.67,4.014835333028612,0
0.68,4.014835333028612,0
0.6900000000000001,4.014835333028612,0
0.7000000000000001,4.014835333028612,0
0.71,4.014835333028612,0
0.72,4.014835333028612,0
0.73,4.014835333028612,0
0.74,4.014835333028612,0
0.75,4.014835333028612,0
0.76,4.014835333028612,0
0.77,4.014835333028612,0
0.78,4.014835333028612,0
0.79,4.014835333028612,0
0.8,5.002829575110743,0
0.81,5.002829575110743,0
0.8200000000000001,5.002829575110743,0
0.8300000000000001,5.002829575110743,0
0.84,5.002829575110743,0
0.85,5.002829575110743,0
0.86,5.002829575110743,0
0.87,5.002829575110743,0
0.88,5.002829575110743,0
0.89,5.002829575110743,0
0.9,5.002829575110743,0
0.91,5.002829575110743,0
0.92,5.002829575110743,0
0.93,5.002829575110743,0
0.9400000000000001,5.002829575110743,0
0.9500000000000001,5.002829575110743,0
0.96,5.002829575110743,0
0.97,5.002829575110743,0
0.98,5.002829575110743,0
0.99,5.002829575110743,0
1.0,5.002829575110743,0
