Request Id,request_execution_plus_preemption_time
5,0.6537659119513981
15,1.7072139141116054
11,13.079990513779508
6,24.57573339650777
29,1.4393712995270247
27,2.815595720037079
34,0.5166494851828081
25,10.860424372953958
16,17.905527688821845
37,2.965334620720484
4,35.776561644043866
9,34.478568245238776
26,15.726727848922916
14,23.214952754782768
45,5.766372948008556
17,23.446230352478768
35,10.83018019018586
7,40.71073986942681
42,9.341110270330145
38,10.00261739076977
20,24.237867455828543
2,43.85418644912924
8,41.54775491706248
43,10.707868856170109
1,44.938379795915054
12,38.67684262297371
21,27.54315436137356
33,18.36968060254854
58,2.741118634228926
32,22.898560212300897
23,31.762875864313017
44,19.680101161826233
18,37.523420772006595
68,4.191927765649999
64,6.773679675733154
74,2.0682185361223584
57,12.117469783307783
22,38.66339783004468
13,47.57384370120338
10,59.826842714174234
36,35.17134344918031
53,25.355172813020538
85,0.4234890846109146
80,3.680357587407227
48,33.32284731503171
65,19.04080812464633
66,18.984897776604253
40,37.71833687130027
30,43.20210138656238
39,38.903890892016
3,71.34462187924437
31,44.07613052351756
72,18.604830683131965
41,40.39790817192657
59,26.371053510750812
76,15.935270353773525
52,33.072001106420466
62,28.38913789444683
55,33.23040030507735
67,26.60398790212135
77,16.909600935022823
28,51.6948387448625
60,31.204314173902567
103,1.60553675238617
75,21.13084893352489
71,26.088543908649967
56,34.78923155134355
24,59.75700610198786
70,29.21452154780224
78,21.90591666133183
61,36.172082587926845
19,66.7303649012354
51,46.053633046828274
63,38.62403822957033
54,45.864852807515604
87,22.751400858717012
69,41.113401846317835
122,11.084647671047096
114,14.376950982678304
130,1.1174038187859234
100,18.898740874836225
79,34.20159423382159
73,42.260748483195954
116,16.645650004194678
115,17.501252690445135
113,22.183169632401952
81,38.09031286995091
105,25.352513073940028
82,37.871180191740116
139,1.1548044846846164
134,7.726450471262875
129,13.426542060416567
135,11.437181857283418
149,1.8602994302323572
99,33.692587295919466
151,2.0236364646908616
104,33.530925186694596
106,33.10559743171438
159,0.46220816763026346
97,37.659664054699476
124,29.074091160667226
127,21.809325828379137
121,34.35742990476532
101,40.34675940493716
128,26.075141015652544
107,39.82644577810313
126,26.66954478122891
171,1.9559005100532236
118,37.387104809572975
152,10.184898895071873
136,19.345676598257484
168,5.743286829200789
155,10.139773455693705
167,7.427918964324285
125,29.8785776754415
158,11.68836310654065
145,17.979615410535636
157,13.708922247318652
141,21.832445977323914
143,21.81619379893888
154,15.940344689370455
153,16.651571268270107
142,24.19954522490769
150,19.31788995597441
164,15.81506901239788
140,25.88312239913744
148,21.034600658303013
188,5.241151530706592
165,16.586208962876086
191,5.026913114050749
163,18.704773625932614
181,10.826694474812676
175,14.013187861722155
170,16.988129941596316
185,11.407079347338426
183,12.119954866931524
86,66.26440626864938
189,10.524751004320697
172,17.544926602086413
177,17.134147300059446
187,12.955769959899794
169,22.3699145255819
182,17.790036195027984
161,28.02994605439527
162,28.174719412808603
192,16.25620244956001
146,34.684734503588096
205,8.217919366340421
195,16.120219260381173
204,11.923547965611421
131,51.67318254183878
147,38.94130539731308
201,14.611738580337324
203,14.080138608028392
209,10.350938636072643
196,20.481015416098515
194,22.92881624215947
173,34.25616915187342
216,8.75648207416455
84,87.55316664410306
217,12.245412341318485
138,66.74711554121487
133,75.03925382726176
117,92.86097727120249
184,58.42625835280843
160,71.47323497539695
210,46.659480405881666
193,65.90158669404249
202,59.8296244859629
49,157.2052804770927
47,158.81904125074257
102,126.45128123697137
92,138.3598506769926
132,125.63218399582712
207,88.23102727916002
89,157.664613741866
198,100.68637696247323
176,111.83098289505394
83,171.89553082243617
206,106.21474876420152
197,118.98596235305315
109,171.56566609846433
137,152.58607118610405
199,125.59958390011765
227,0.7041464812246935
166,144.66707119513762
231,0.7625988885214984
229,5.700254639063402
225,12.844400533462943
232,6.528555499702148
228,11.202610349584184
123,196.35117155604104
174,191.1378468547313
108,240.2575778820247
178,203.21517313083223
90,253.74427160535083
