cdf,batch_num_tokens,replica
0.0,0.9900000000000001,0
0.01,0.9900000000000001,0
0.02,0.9900000000000001,0
0.03,1.993661701417351,0
0.04,4.014835333028612,0
0.05,4.014835333028612,0
0.06,5.002829575110743,0
0.07,5.98951037117267,0
0.08,5.98951037117267,0
0.09,5.98951037117267,0
0.1,10.074696689511441,0
0.11,10.074696689511441,0
0.12,10.074696689511441,0
0.13,10.913817739716958,0
0.14,12.06167417903937,0
0.15,12.06167417903937,0
0.16,15.029881751769887,0
0.17,15.029881751769887,0
0.18,15.959309654787097,0
0.19,19.106877269947287,0
0.2,19.88667024086647,0
0.21,19.88667024086647,0
0.22,19.88667024086647,0
0.23,21.97824287264948,0
0.24,22.875222481777087,0
0.25,22.875222481777087,0
0.26,507.8355509801901,0
0.27,507.8355509801901,0
0.28,507.8355509801901,0
0.29,507.8355509801901,0
0.3,507.8355509801901,0
0.31,507.8355509801901,0
0.32,507.8355509801901,0
0.33,507.8355509801901,0
0.34,507.8355509801901,0
0.35000000000000003,507.8355509801901,0
0.36,507.8355509801901,0
0.37,507.8355509801901,0
0.38,507.8355509801901,0
0.39,507.8355509801901,0
0.4,507.8355509801901,0
0.41000000000000003,507.8355509801901,0
0.42,507.8355509801901,0
0.43,507.8355509801901,0
0.44,507.8355509801901,0
0.45,507.8355509801901,0
0.46,507.8355509801901,0
0.47000000000000003,507.8355509801901,0
0.48,507.8355509801901,0
0.49,507.8355509801901,0
0.5,507.8355509801901,0
0.51,507.8355509801901,0
0.52,507.8355509801901,0
0.53,507.8355509801901,0
0.54,507.8355509801901,0
0.55,507.8355509801901,0
0.56,507.8355509801901,0
0.5700000000000001,507.8355509801901,0
0.58,507.8355509801901,0
0.59,507.8355509801901,0
0.6,507.8355509801901,0
0.61,507.8355509801901,0
0.62,507.8355509801901,0
0.63,507.8355509801901,0
0.64,507.8355509801901,0
0.65,507.8355509801901,0
0.66,507.8355509801901,0
0.67,507.8355509801901,0
0.68,507.8355509801901,0
0.6900000000000001,507.8355509801901,0
0.7000000000000001,507.8355509801901,0
0.71,507.8355509801901,0
0.72,507.8355509801901,0
0.73,507.8355509801901,0
0.74,507.8355509801901,0
0.75,507.8355509801901,0
0.76,507.8355509801901,0
0.77,507.8355509801901,0
0.78,507.8355509801901,0
0.79,507.8355509801901,0
0.8,507.8355509801901,0
0.81,507.8355509801901,0
0.8200000000000001,507.8355509801901,0
0.8300000000000001,507.8355509801901,0
0.84,507.8355509801901,0
0.85,507.8355509801901,0
0.86,507.8355509801901,0
0.87,507.8355509801901,0
0.88,507.8355509801901,0
0.89,507.8355509801901,0
0.9,507.8355509801901,0
0.91,507.8355509801901,0
0.92,507.8355509801901,0
0.93,507.8355509801901,0
0.9400000000000001,507.8355509801901,0
0.9500000000000001,507.8355509801901,0
0.96,507.8355509801901,0
0.97,507.8355509801901,0
0.98,507.8355509801901,0
0.99,507.8355509801901,0
1.0,507.8355509801901,0
