Request Id,prefill_e2e_time
5,1.0748331341785684
6,0.9520414622604649
11,6.200659894777114
4,0.7481822978425906
15,16.303300268383122
1,0.3644838595468453
2,0.6590527622825161
7,2.235011592128025
9,4.429854457450158
16,16.830689352383494
8,3.850807057980216
25,22.89170165497485
14,15.949631119802559
27,26.891560191490214
12,15.851676773901536
17,16.755451878290543
10,5.446352915845182
3,0.777759998820132
29,27.632361262360053
34,29.246017277585914
20,19.698377517617224
18,17.563801278400135
13,16.060578203044354
21,21.43757840917367
37,32.19971485176474
26,26.915760158432548
23,21.67962528916504
22,21.719713862122767
35,31.031592243529573
33,28.777370165999695
32,28.63477931184952
46,35.192700410823406
38,32.17115063836364
42,33.022975609880234
45,34.02462224040217
43,33.63585420362753
44,33.669847713503614
30,28.111703518873462
36,32.110111863299565
31,28.017873318177585
48,35.52882635618241
19,18.734708997720453
58,46.59488160505462
49,35.69921462132258
24,22.079803089520915
53,41.3559759682948
40,32.32089879770662
28,27.23681818189325
39,32.35405898338366
50,37.389086063069605
57,46.45236993409401
41,32.35372267683787
64,48.562339976165944
47,35.544090773453405
68,51.441901368705786
52,40.98521886825759
65,49.76789015347007
66,49.82901943006887
55,43.878064439177024
59,46.70733706750695
74,57.115958129835875
51,40.54638808589385
56,45.80543113901424
62,47.95083028368447
60,46.74757638693362
54,42.963324104865706
72,53.33333718167185
67,49.85854437354374
61,47.52891071016533
80,63.580993164133034
71,52.63669740929537
63,48.69174975951996
70,52.201933366962884
85,67.10384841570284
76,60.05928624489548
75,57.21488482849649
77,60.09167795778267
69,51.777012779529805
89,71.87225158526314
78,61.125104589909476
73,55.18474949175837
84,66.6179561777284
87,67.7982580356878
79,63.72177840963505
83,65.51062603986473
95,82.61479983276296
81,64.45421408816749
82,64.91901948347835
88,71.27039188718877
86,67.71838228388086
90,72.62354656260332
92,78.04506864360575
91,77.0801399090065
94,81.50520736711725
93,79.40743499474407
103,110.57242609238936
109,112.39758201333537
100,110.30297934735144
97,93.60288605333415
111,114.03231267306458
96,91.77009835170024
114,116.62855320651371
105,110.86286051119733
116,116.65163467207998
115,116.83225365068346
110,112.99279074027271
99,110.62463045193665
117,117.09092862578568
120,129.35045841437278
104,110.33276990263832
113,116.14711989132473
106,110.75854307646266
98,110.58524349212092
108,111.52091458619321
102,110.5302521248526
122,129.771813713112
101,110.16924262189706
112,115.6706591801717
107,110.81973246890409
130,140.64200639624522
118,116.96314905291393
123,130.71957552341544
119,118.77560971365796
134,142.0773940728962
129,140.42051764194528
121,129.52686948167346
139,147.85003484191427
124,137.69453544548702
137,147.5572418387438
127,138.47114039557806
135,146.43803787749636
128,138.50164298694756
126,138.4709290822159
149,153.8059186491779
151,154.40800623815232
147,153.33890033283416
132,141.0900074944348
125,138.47909419684095
136,146.4879779302838
159,156.70394473986016
133,141.96893735442305
138,147.93446396513622
160,156.86319977574362
131,140.7478102369908
166,158.22757468110217
152,154.26149011256706
156,156.50491580935486
141,147.96901132741772
143,148.42703256685246
142,147.9365160694375
155,155.36417620428549
145,153.3252930312247
140,147.89115100062384
168,159.2128086262898
158,156.81330124263047
171,161.95770288836653
153,154.88238271337298
167,159.39268782361268
154,155.32844170989694
157,156.5717780219757
150,154.07326379103935
148,153.54883182875867
144,151.68324014074875
164,157.41702443783726
165,157.47703957555385
163,156.72074049074496
173,162.59005525101745
176,163.46516065860567
170,161.5590463476609
178,163.9667541200866
175,163.0290828700065
174,162.99789454714642
172,161.94848529842307
169,160.43050965498148
161,156.957535065059
162,156.70118182354466
146,153.31246011482935
177,163.47350971842377
186,187.31940000006716
179,176.78960960787828
188,187.90246014234134
184,186.22566625687585
181,185.51434069780748
185,186.09353660251304
197,198.08639678950456
183,186.02269704435753
191,195.5717531287336
189,188.3010305435819
199,199.987358937139
187,187.86223861214182
180,184.8289422645541
182,185.8363447729242
207,203.35236636184578
190,195.83895436940878
196,197.6952190525997
192,195.64422272856845
205,202.53994808114388
198,198.94549950803253
200,201.29876132597028
195,197.63877794150508
208,206.323656867021
206,202.84604287590926
204,202.48975015512536
193,196.695882120762
201,201.1909104667214
203,201.6682964700757
222,222.0075696383829
210,206.93599712103435
209,206.58661959859225
202,201.37778568970575
218,214.0870597774733
212,211.00482520201496
194,197.5806032223243
227,227.3290808034194
211,209.97122088908856
223,225.78321449646035
216,213.12519693414012
231,228.26181322889772
214,212.8943455754444
219,214.18844842533693
213,212.1637974091902
235,229.84683142815362
229,228.02447805074792
217,213.16440357011024
221,220.1442368020621
232,228.4094044334766
226,226.9865935260618
220,218.99241194094245
225,225.763439692945
241,243.23308260384823
215,213.23589239161353
236,231.41401333803026
224,225.72529468101763
239,242.67063166714027
228,227.33544295526949
230,228.22979092954233
240,243.02064064865849
234,229.84811146594285
237,231.79568887190243
247,253.76262714783505
233,229.71500539976495
242,244.42348680887415
257,258.35600167678047
258,258.3694634085802
243,244.46849514643384
253,256.7147599463927
244,244.9666016321441
251,255.6273917164046
238,242.3055001608751
245,246.03349763038443
249,254.80159088676083
246,253.82535391701364
248,254.41636608673608
250,255.70630058209917
268,269.04709552371435
259,258.4687938001847
261,259.8029079913677
263,261.6923992354026
252,256.71086348356494
256,257.8420789435107
255,257.90262350567707
254,256.82114677095467
270,272.28031456429574
269,272.2319929613537
278,278.0488938667564
264,262.240477937446
279,281.7931647708233
266,262.95823469273154
262,259.6947906382038
271,272.42996677386714
286,285.60078451891343
277,278.0838538991693
276,277.2754490459005
267,268.1159909173549
260,259.5957678495934
272,272.93773691139637
275,276.8676714427594
284,285.35024582800156
281,282.1858116849886
293,298.782093287874
273,275.7405211856312
280,282.02606236456995
289,290.32078189648917
283,284.1034013352
285,285.29693285241217
274,276.50361331884204
290,291.23264839508266
302,309.1171096252134
294,299.4051076189561
292,299.05148770959926
300,308.6992370584711
287,290.2494464215458
297,301.6419630011026
305,312.3647034531854
291,292.11961845730264
288,290.3596713119821
308,314.347481983819
295,300.0414946964849
311,317.05540847245413
314,319.4376033065525
298,308.7925286485199
265,262.7011940072428
313,318.52659202225715
318,321.16373969008635
304,311.9535978572785
319,322.06589145600776
320,321.7462708761247
301,308.8064281059071
306,313.80140266407597
299,308.7714890481251
309,316.2513334900231
296,300.2601581908828
310,317.0278404222859
323,324.88284485574775
307,313.93795338618673
303,311.2696052561376
326,327.1326585611803
316,320.703033810811
315,320.27559917102303
325,326.6353331349128
321,322.0144107865652
312,317.18491428988466
322,324.6528446985078
317,321.21822306630474
333,351.0306736970342
327,342.7869141553059
324,326.4715208800864
332,350.18885295023017
340,353.06927584351985
